Year,Month,Day,Fractional year,Modulation potential [MV]
1965,5,2,1965.331507,458.6
1965,5,3,1965.334247,448.2
1965,5,4,1965.336986,447.5
1965,5,5,1965.339726,448.7
1965,5,6,1965.342466,449.7
1965,5,7,1965.345205,450.6
1965,5,8,1965.347945,446.8
1965,5,9,1965.350685,456.3
1965,5,10,1965.353425,454.8
1965,5,11,1965.356164,448.7
1965,5,12,1965.358904,442.8
1965,5,13,1965.361644,442.8
1965,5,14,1965.364384,444.2
1965,5,15,1965.367123,442.5
1965,5,16,1965.369863,448.9
1965,5,17,1965.372603,457.4
1965,5,18,1965.375342,458
1965,5,19,1965.378082,454.8
1965,5,20,1965.380822,453.1
1965,5,21,1965.383562,458.7
1965,5,22,1965.386301,461.2
1965,5,23,1965.389041,468.3
1965,5,24,1965.391781,461.6
1965,5,25,1965.394521,460.9
1965,5,26,1965.39726,460.5
1965,5,27,1965.4,467.4
1965,5,28,1965.40274,473.3
1965,5,29,1965.405479,473.7
1965,5,30,1965.408219,476
1965,5,31,1965.410959,471.7
1965,6,1,1965.413699,469.2
1965,6,2,1965.416438,470
1965,6,3,1965.419178,465.7
1965,6,4,1965.421918,476.8
1965,6,5,1965.424658,472.9
1965,6,6,1965.427397,474.7
1965,6,7,1965.430137,466
1965,6,8,1965.432877,470.5
1965,6,9,1965.435616,491.5
1965,6,10,1965.438356,481.3
1965,6,11,1965.441096,475.4
1965,6,12,1965.443836,479.9
1965,6,13,1965.446575,477
1965,6,14,1965.449315,474.4
1965,6,15,1965.452055,480.2
1965,6,16,1965.454795,546.5
1965,6,17,1965.457534,522.5
1965,6,18,1965.460274,521.2
1965,6,19,1965.463014,509.1
1965,6,20,1965.465753,501.6
1965,6,21,1965.468493,497.6
1965,6,22,1965.471233,488.3
1965,6,23,1965.473973,490.6
1965,6,24,1965.476712,485.6
1965,6,25,1965.479452,491.3
1965,6,26,1965.482192,499
1965,6,27,1965.484932,492.9
1965,6,28,1965.487671,483.2
1965,6,29,1965.490411,490.4
1965,6,30,1965.493151,489
1965,7,1,1965.49589,493.1
1965,7,2,1965.49863,494.7
1965,7,3,1965.50137,492.3
1965,7,4,1965.50411,489.7
1965,7,5,1965.506849,497.2
1965,7,6,1965.509589,495.4
1965,7,7,1965.512329,495.2
1965,7,8,1965.515068,495.3
1965,7,9,1965.517808,495.9
1965,7,10,1965.520548,506.2
1965,7,11,1965.523288,502.3
1965,7,12,1965.526027,495.8
1965,7,13,1965.528767,517.8
1965,7,14,1965.531507,505.6
1965,7,15,1965.534247,499.2
1965,7,16,1965.536986,489.2
1965,7,17,1965.539726,490.5
1965,7,18,1965.542466,480.9
1965,7,19,1965.545205,514.5
1965,7,20,1965.547945,512.6
1965,7,21,1965.550685,506
1965,7,22,1965.553425,503.5
1965,7,23,1965.556164,500.6
1965,7,24,1965.558904,503.3
1965,7,25,1965.561644,498.5
1965,7,26,1965.564384,494.1
1965,7,27,1965.567123,501.2
1965,7,28,1965.569863,501.8
1965,7,29,1965.572603,505.6
1965,7,30,1965.575342,506.1
1965,7,31,1965.578082,512.2
1965,8,1,1965.580822,507.8
1965,8,2,1965.583562,507.1
1965,8,3,1965.586301,495
1965,8,4,1965.589041,493.2
1965,8,5,1965.591781,490.4
1965,8,6,1965.594521,484.2
1965,8,7,1965.59726,486.2
1965,8,8,1965.6,489.6
1965,8,9,1965.60274,490.1
1965,8,10,1965.605479,487.4
1965,8,11,1965.608219,484.8
1965,8,12,1965.610959,492.9
1965,8,13,1965.613699,484.7
1965,8,14,1965.616438,483.9
1965,8,15,1965.619178,490
1965,8,16,1965.621918,522.6
1965,8,17,1965.624658,515.5
1965,8,18,1965.627397,513.3
1965,8,19,1965.630137,514.9
1965,8,20,1965.632877,509.2
1965,8,21,1965.635616,506.4
1965,8,22,1965.638356,514
1965,8,23,1965.641096,508.4
1965,8,24,1965.643836,516.3
1965,8,25,1965.646575,513.4
1965,8,26,1965.649315,514.4
1965,8,27,1965.652055,515.7
1965,8,28,1965.654795,512.3
1965,8,29,1965.657534,503
1965,8,30,1965.660274,500
1965,8,31,1965.663014,505.9
1965,9,1,1965.665753,501.2
1965,9,2,1965.668493,498.8
1965,9,3,1965.671233,494
1965,9,4,1965.673973,508
1965,9,5,1965.676712,506.5
1965,9,6,1965.679452,501.7
1965,9,7,1965.682192,499.6
1965,9,8,1965.684932,494
1965,9,9,1965.687671,485.1
1965,9,10,1965.690411,478.1
1965,9,11,1965.693151,479.2
1965,9,12,1965.69589,487.2
1965,9,13,1965.69863,504.8
1965,9,14,1965.70137,493.4
1965,9,15,1965.70411,487.1
1965,9,16,1965.706849,494.9
1965,9,17,1965.709589,505.8
1965,9,18,1965.712329,507.3
1965,9,19,1965.715068,503.5
1965,9,20,1965.717808,495.9
1965,9,21,1965.720548,488.8
1965,9,22,1965.723288,487.9
1965,9,23,1965.726027,504.1
1965,9,24,1965.728767,514.7
1965,9,25,1965.731507,513.3
1965,9,26,1965.734247,502.7
1965,9,27,1965.736986,510.6
1965,9,28,1965.739726,508.9
1965,9,29,1965.742466,506.1
1965,9,30,1965.745205,496.7
1965,10,1,1965.747945,495.2
1965,10,2,1965.750685,499.4
1965,10,3,1965.753425,504
1965,10,4,1965.756164,493.9
1965,10,5,1965.758904,499.6
1965,10,6,1965.761644,504
1965,10,7,1965.764384,508
1965,10,8,1965.767123,530.8
1965,10,9,1965.769863,520
1965,10,10,1965.772603,509.3
1965,10,11,1965.775342,499.8
1965,10,12,1965.778082,492.2
1965,10,13,1965.780822,488.6
1965,10,14,1965.783562,488.5
1965,10,15,1965.786301,486.3
1965,10,16,1965.789041,476
1965,10,17,1965.791781,473.2
1965,10,18,1965.794521,481.3
1965,10,19,1965.79726,486.4
1965,10,20,1965.8,480.3
1965,10,21,1965.80274,475.6
1965,10,22,1965.805479,485
1965,10,23,1965.808219,491.4
1965,10,24,1965.810959,489.1
1965,10,25,1965.813699,476.4
1965,10,26,1965.816438,478.3
1965,10,27,1965.819178,485.1
1965,10,28,1965.821918,489
1965,10,29,1965.824658,485.6
1965,10,30,1965.827397,481.8
1965,10,31,1965.830137,478.6
1965,11,1,1965.832877,474.6
1965,11,2,1965.835616,469.6
1965,11,3,1965.838356,466.5
1965,11,4,1965.841096,490.7
1965,11,5,1965.843836,489.8
1965,11,6,1965.846575,479.7
1965,11,7,1965.849315,476.5
1965,11,8,1965.852055,472.5
1965,11,9,1965.854795,470.4
1965,11,10,1965.857534,468.1
1965,11,11,1965.860274,471
1965,11,12,1965.863014,473
1965,11,13,1965.865753,479.4
1965,11,14,1965.868493,476.3
1965,11,15,1965.871233,477.1
1965,11,16,1965.873973,477.9
1965,11,17,1965.876712,473.3
1965,11,18,1965.879452,471.8
1965,11,19,1965.882192,480.4
1965,11,20,1965.884932,476.9
1965,11,21,1965.887671,474.7
1965,11,22,1965.890411,472.7
1965,11,23,1965.893151,468.9
1965,11,24,1965.89589,468.3
1965,11,25,1965.89863,465.2
1965,11,26,1965.90137,471.1
1965,11,27,1965.90411,484.6
1965,11,28,1965.906849,483.5
1965,11,29,1965.909589,482.9
1965,11,30,1965.912329,475.6
1965,12,1,1965.915068,483.2
1965,12,2,1965.917808,482.8
1965,12,3,1965.920548,475.4
1965,12,4,1965.923288,470.7
1965,12,5,1965.926027,471.5
1965,12,6,1965.928767,469.8
1965,12,7,1965.931507,466.7
1965,12,8,1965.934247,465.4
1965,12,9,1965.936986,475
1965,12,10,1965.939726,472.7
1965,12,11,1965.942466,481.8
1965,12,12,1965.945205,480.2
1965,12,13,1965.947945,474.9
1965,12,14,1965.950685,475
1965,12,15,1965.953425,467.9
1965,12,16,1965.956164,466.6
1965,12,17,1965.958904,468.8
1965,12,18,1965.961644,472.3
1965,12,19,1965.964384,482.9
1965,12,20,1965.967123,481.6
1965,12,21,1965.969863,475.9
1965,12,22,1965.972603,482
1965,12,23,1965.975342,477
1965,12,24,1965.978082,472.4
1965,12,25,1965.980822,482.5
1965,12,26,1965.983562,482
1965,12,27,1965.986301,487
1965,12,28,1965.989041,492.6
1965,12,29,1965.991781,496.7
1965,12,30,1965.994521,490.6
1965,12,31,1965.99726,481
1966,1,1,1966,484.8
1966,1,2,1966.00274,500.6
1966,1,3,1966.005479,515.1
1966,1,4,1966.008219,501.9
1966,1,5,1966.010959,496.2
1966,1,6,1966.013699,491.2
1966,1,7,1966.016438,488.7
1966,1,8,1966.019178,490.3
1966,1,9,1966.021918,489.5
1966,1,10,1966.024658,483.4
1966,1,11,1966.027397,478.4
1966,1,12,1966.030137,472.6
1966,1,13,1966.032877,469
1966,1,14,1966.035616,459.6
